iter	Logloss
240	0.1768071159
241	0.1765416539
242	0.1763433742
243	0.1762233449
244	0.1760343521
245	0.1758911849
246	0.1756096378
247	0.1755134504
248	0.1754164532
249	0.1753585376
250	0.1751264189
251	0.1748801451
252	0.1747321086
253	0.1746203218
254	0.1744581669
255	0.1742864513
256	0.1741073296
257	0.173997049
258	0.173872602
259	0.1736775365
260	0.1734960634
261	0.1733993954
262	0.1731902998
263	0.17306691
264	0.1729151219
265	0.1726680521
266	0.1725467879
267	0.1723181583
268	0.1722328095
269	0.1720552735
270	0.1718448142
271	0.1717450732
272	0.1715545251
273	0.1714495275
274	0.1712994639
275	0.1712380894
276	0.1710518655
277	0.1709032677
278	0.170810644
279	0.170670392
280	0.17047049
281	0.170364969
282	0.1702060182
283	0.170064805
284	0.16987171
285	0.1697137873
286	0.1696410431
287	0.1694262078
288	0.1692854639
289	0.1691894493
290	0.1689761089
291	0.1688864446
292	0.1687736713
293	0.1686450968
294	0.1684700068
295	0.1682844793
296	0.168126351
297	0.1679689481
298	0.1677741903
299	0.1676121414
300	0.1674813127
301	0.1673329911
302	0.1671906325
303	0.1671328103
304	0.1670040845
305	0.1668813393
306	0.1666197714
307	0.1665109629
308	0.1663820176
309	0.1662698738
310	0.1661243477
311	0.1660217886
312	0.1658265565
313	0.165730658
314	0.165503811
315	0.1654086403
316	0.1652260192
317	0.1651205033
318	0.1650417015
319	0.1649234623
320	0.1647808224
321	0.1647156155
322	0.1645589506
323	0.1644783802
324	0.1643691681
325	0.1642158511
326	0.1640715902
327	0.1638626699
328	0.1637714893
329	0.1636074409
330	0.1634744425
331	0.1633763641
332	0.1632346249
333	0.1631622125
334	0.16304993
335	0.1629844797
336	0.1628286359
337	0.1626469723
338	0.1625298798
339	0.1623711107
340	0.1621231844
341	0.1620331757
342	0.161925968
343	0.1618177664
344	0.1617446854
345	0.1616336606
346	0.1614808166
347	0.1614008858
348	0.1612593358
349	0.1611276165
350	0.1609965935
351	0.1608014208
352	0.1607372609
353	0.1606038462
354	0.1605388538
355	0.160406809
356	0.1602838002
357	0.1601356451
358	0.1600427501
359	0.1598908018
360	0.159812878
361	0.1596935767
362	0.1596388539
363	0.1595296532
364	0.159406083
365	0.1592957797
366	0.1591819291
367	0.1590852422
368	0.1589678381
369	0.1588882088
370	0.1586909332
371	0.1586399305
372	0.1585619626
373	0.1584905682
374	0.1583892
375	0.1582575059
376	0.1580876661
377	0.1579730813
378	0.1579217696
379	0.157825277
380	0.1577467225
381	0.1576884197
382	0.1575692293
383	0.1574220544
384	0.1573446478
385	0.1571461524
386	0.1570419407
387	0.1569297364
388	0.1568611539
389	0.1567799919
390	0.1566691209
391	0.1565861702
392	0.1564730072
393	0.1563953344
394	0.156294144
395	0.1561935995
396	0.1560741303
397	0.1559490262
398	0.1558629962
399	0.1557075397
400	0.1556393999
401	0.1555249994
402	0.155454647
403	0.1553922204
404	0.1552044197
405	0.1550531728
406	0.1549492299
407	0.1547723132
408	0.1546365054
409	0.1545445969
410	0.1543913872
411	0.1542975184
412	0.154193829
413	0.1540968569
414	0.1539876184
415	0.1538607456
416	0.153692875
417	0.1536244072
418	0.1534893185
419	0.1533582955
420	0.1532166029
421	0.1531324046
422	0.1529840414
423	0.1529164239
424	0.152770682
425	0.1526916406
426	0.1525769801
427	0.1524054916
428	0.1522992906
429	0.1522082437
430	0.1520729191
431	0.1519068044
432	0.1518469361
433	0.1516796369
434	0.1516019642
435	0.1515065539
436	0.1514354307
437	0.1513575423
438	0.1512588862
439	0.1511306927
440	0.1510573644
441	0.1508686227
442	0.1508240952
443	0.1506689427
444	0.1505149105
445	0.1503901671
446	0.1503333705
447	0.1501791982
448	0.1500971935
449	0.1500150968
450	0.1498943725
451	0.1497747356
452	0.1496599856
453	0.1495294949
454	0.149421871
455	0.1493088417
456	0.1491571873
457	0.1490405804
458	0.148918032
459	0.1487916109
460	0.1486203115
461	0.1484544857
462	0.1483235208
463	0.1482251674
464	0.1481186057
465	0.1480380808
466	0.1479773761
467	0.1478074329
468	0.1477191612
469	0.1476535141
470	0.1475670073
471	0.1473944868
472	0.1472713771
473	0.1471463991
474	0.1470476332
475	0.1469341258
476	0.1468528351
477	0.1467632541
478	0.1466421993
479	0.1465723388
480	0.1464764138
481	0.146309324
482	0.1461783654
483	0.1460693337
484	0.1459705767
485	0.1458138272
486	0.1456777444
487	0.1455643442
488	0.1454389322
489	0.1452912565
490	0.1452015872
491	0.1451324685
492	0.1450850219
493	0.1450359758
494	0.1449016654
495	0.1447829923
496	0.1446510913
497	0.1445528263
498	0.1445017757
499	0.1444061156
500	0.1442560292
501	0.1441477228
502	0.1440424894
503	0.1439102478
504	0.1438038362
505	0.1436758369
506	0.1435639038
507	0.1434881574
508	0.1433553229
509	0.1432347739
510	0.1431715375
511	0.1431237251
512	0.1430564103
513	0.142898933
514	0.142795477
515	0.1426428222
516	0.1425640116
517	0.1424020964
518	0.1423338544
519	0.142179773
520	0.1420605473
521	0.1420091523
522	0.1417888119
523	0.1417250154
524	0.1416807452
525	0.1416197025
526	0.1415559085
527	0.1414633314
528	0.141355488
529	0.1411564476
530	0.1410913354
531	0.141008946
532	0.1408917298
533	0.1408372329
534	0.1406592578
535	0.1405552834
536	0.1404625739
537	0.1403095823
538	0.1402477991
539	0.140195873
540	0.1401530675
541	0.1400238421
542	0.1399638892
543	0.1398307848
544	0.1396853722
545	0.139591984
546	0.1394964551
547	0.1393669408
548	0.1393251835
549	0.1392150001
550	0.1391508087
551	0.1390530722
552	0.1389349794
553	0.1388808419
554	0.1387826173
555	0.1387418073
556	0.1386495747
557	0.1385837081
558	0.1385087223
559	0.1383876031
560	0.1382594992
561	0.1381153581
562	0.1380819366
563	0.1380145972
564	0.1379445753
565	0.137901935
566	0.1378158867
567	0.1377699804
568	0.137724035
569	0.1376468145
570	0.1375378219
571	0.13746285
572	0.1373228308
573	0.1372544961
574	0.1372001909
575	0.137158573
576	0.1371275906
577	0.137034946
578	0.1369363164
579	0.1368160109
580	0.1367763703
581	0.1367095658
582	0.1366229966
583	0.1365907545
584	0.1364935056
585	0.136432625
586	0.1363576152
587	0.136249107
588	0.136210528
589	0.1361527872
590	0.1361108526
591	0.1359890542
592	0.13585797
593	0.1358293377
594	0.1357598835
595	0.1357244878
596	0.1355713871
597	0.1355434416
598	0.1354997095
599	0.1353840563
600	0.135309782
601	0.1352577664
602	0.1351648966
603	0.1351116132
604	0.1349808999
605	0.1349528568
606	0.1349094387
607	0.1347865465
608	0.1346863401
609	0.134595965
610	0.1344632346
611	0.1343739235
612	0.1343485237
613	0.1342231735
614	0.1341343355
615	0.1340724482
616	0.1340113166
617	0.1339595431
618	0.1339216592
619	0.1338588422
620	0.1337792703
621	0.1337396682
622	0.1336521219
623	0.1336102839
624	0.1335237468
625	0.1334932374
626	0.1333248672
627	0.1332249704
628	0.1331608983
629	0.1331301757
630	0.1330280865
631	0.132920433
632	0.1328213486
633	0.1327443123
634	0.1325862502
635	0.1324921991
636	0.1323812147
637	0.1323563132
638	0.1323081747
639	0.1322741307
640	0.1322362202
641	0.1321304494
642	0.132067394
643	0.131964464
644	0.1319038691
645	0.131836034
646	0.1317680248
647	0.1316735946
648	0.1315961622
649	0.1314747731
650	0.1314267223
651	0.1313840718
652	0.1312593764
653	0.1311706954
654	0.1310976201
655	0.1309925274
656	0.1308878143
657	0.1307945535
658	0.1307146455
659	0.1306363111
660	0.1305769669
661	0.1304889596
662	0.1304411819
663	0.1303967055
664	0.1302987962
665	0.1301762913
666	0.1300845392
667	0.1300213532
668	0.1299045988
669	0.1297938117
670	0.129672275
671	0.1296463978
672	0.1295423684
673	0.1294455963
674	0.1293933026
675	0.1292895514
676	0.1292349075
677	0.1291024426
678	0.1290668262
679	0.1290162045
680	0.1289246246
681	0.1288414128
682	0.1287526536
683	0.1286860528
684	0.1285562225
685	0.1284456953
686	0.1283723274
687	0.1282890455
688	0.1282015692
689	0.1281450577
690	0.1280444734
691	0.128012654
692	0.127937327
693	0.1278893847
694	0.1278234405
695	0.1277704012
696	0.1276770988
697	0.1276533421
698	0.1275757312
699	0.1275032986
700	0.1274094109
701	0.1273217201
702	0.127230274
703	0.1271413685
704	0.1270358682
705	0.1269830402
706	0.1269605715
707	0.1268607933
708	0.1268147817
709	0.1267487574
710	0.126698036
711	0.1265602925
712	0.1264235147
713	0.1263980594
714	0.1263200688
715	0.1262804194
716	0.1261986002
717	0.1260953833
718	0.1260745292
719	0.1259922098
720	0.1259176737
721	0.1258750239
722	0.1257993538
723	0.1256942825
724	0.125605095
725	0.1255584501
726	0.1255291007
727	0.1254405193
728	0.1254126887
729	0.1253271399
730	0.1252523547
731	0.1251919938
732	0.125133638
733	0.1250439037
734	0.1250024441
735	0.1248757871
736	0.1247761319
737	0.1246743164
738	0.124593415
739	0.1245511808
740	0.1244969059
741	0.1243861333
742	0.124297769
743	0.1242149065
744	0.1241477331
745	0.1240786238
746	0.1240468561
747	0.1239407624
748	0.1238737371
749	0.1238228612
750	0.1237521443
751	0.1236883408
752	0.1235850955
753	0.1235481185
754	0.1235018224
755	0.123458002
756	0.1233611176
757	0.1232913928
758	0.1232283109
759	0.1231425149
760	0.1231172268
761	0.1230782901
762	0.1230284013
763	0.1229303072
764	0.1228361622
765	0.1227656496
766	0.1226513424
767	0.1225804456
768	0.1225309214
769	0.1224360617
770	0.1223841899
771	0.1222930528
772	0.1222375146
773	0.1221511383
774	0.122101476
775	0.1220396978
776	0.122008955
777	0.1219154704
778	0.1218180675
779	0.1217466366
780	0.1216649542
781	0.121580848
782	0.1214973479
783	0.1214062941
784	0.1213298595
785	0.1212820578
786	0.1211717785
787	0.1211336069
788	0.1210621778
789	0.1209622666
790	0.1208868721
791	0.1208400329
792	0.120756821
793	0.1206313838
794	0.120602269
795	0.1205283258
796	0.1204668914
797	0.1203862933
798	0.1203239033
799	0.1202534116
800	0.120199563
801	0.1200848723
802	0.1200373955
803	0.1199497716
804	0.119880183
805	0.1198067028
806	0.1197531709
807	0.1197221979
808	0.1196026827
809	0.1195358271
810	0.1194930688
811	0.1193551456
812	0.1193103349
813	0.1192516656
814	0.1191351243
815	0.1190638031
816	0.1189559875
817	0.1189096731
818	0.1188211138
819	0.118784931
820	0.1187466333
821	0.118691744
822	0.1186052031
823	0.1185437182
824	0.118481771
825	0.1183977455
826	0.1183705626
827	0.1182622474
828	0.1181553829
829	0.1181133714
830	0.1180316878
831	0.117967277
832	0.117923606
833	0.1178189585
834	0.1177379725
835	0.1176314997
836	0.1175714309
837	0.1175047941
838	0.1174428659
839	0.1173854328
840	0.1173571039
841	0.1172595213
842	0.1171839906
843	0.1171482272
844	0.117065887
845	0.1170169027
846	0.1169818797
847	0.1169385216
848	0.1169117336
849	0.1168499062
850	0.1167603933
851	0.1167045359
852	0.1166558852
853	0.116599638
854	0.1165228136
855	0.1164204898
856	0.1163844274
857	0.116303418
858	0.1162090522
859	0.1161419879
860	0.1161086837
861	0.1160559187
862	0.1159971278
863	0.115900999
864	0.1158434588
865	0.1157952471
866	0.1157364902
867	0.1156736461
868	0.1156167404
869	0.115540085
870	0.1154948896
871	0.1154251427
872	0.1153779774
873	0.1152864291
874	0.1152018725
875	0.1150948762
876	0.1150633614
877	0.1150054629
878	0.1149602264
879	0.114894445
880	0.1148184872
881	0.1147109239
882	0.1146444095
883	0.1145959399
884	0.1145354339
885	0.114481967
886	0.1144178595
887	0.1143506236
888	0.1142814759
889	0.1141832115
890	0.1141227049
891	0.1140318731
892	0.1139776833
893	0.1139072363
894	0.1138459658
895	0.1137477954
896	0.1136818449
897	0.1136456917
898	0.1136046371
899	0.1135095125
900	0.1134652997
901	0.1134012181
902	0.1133088498
903	0.1132468307
904	0.1131814359
905	0.1131184454
906	0.1130502174
907	0.1129983436
908	0.1129237407
909	0.1128516878
910	0.112816827
911	0.1127467181
912	0.112676775
913	0.1126311204
914	0.1125635874
915	0.1124796937
916	0.1124288468
917	0.1123469633
918	0.1123202068
919	0.1122692615
920	0.112180122
921	0.1121188074
922	0.1120284398
923	0.1119755563
924	0.1119465172
925	0.1118997739
926	0.1118251722
927	0.1117466209
928	0.1117053776
929	0.1116496526
930	0.1115800439
931	0.1115423895
932	0.1114700913
933	0.1114010716
934	0.1113047354
935	0.1112441644
936	0.1112124548
937	0.1111647629
938	0.1111079303
939	0.1110277428
940	0.1109846723
941	0.1109454272
942	0.1108886969
943	0.1108251715
944	0.1107351698
945	0.1107144987
946	0.1106424344
947	0.1105888495
948	0.1105123821
949	0.1104855146
950	0.1104091646
951	0.1103591686
952	0.1102916229
953	0.1102473238
954	0.1101756424
955	0.1100687571
956	0.1099927192
957	0.1099678127
958	0.1098971304
959	0.109846737
960	0.1098101177
961	0.1097120223
962	0.1096703634
963	0.1096133322
964	0.1095638073
965	0.1095231317
966	0.1094695885
967	0.1094348689
968	0.1093594668
969	0.1093220345
970	0.109226961
971	0.1091725933
972	0.1091037143
973	0.1090501465
974	0.1089420495
975	0.1088930078
976	0.1088092573
977	0.1087463079
978	0.1086999178
979	0.108660042
980	0.1085902263
981	0.1085503656
982	0.1084813611
983	0.1084043582
984	0.1083661179
985	0.1083125078
986	0.1082568736
987	0.1081941418
988	0.1081725674
989	0.1081098867
990	0.1080328283
991	0.1079765785
992	0.1078711313
993	0.1078288297
994	0.1077595949
995	0.1076953556
996	0.107626505
997	0.1075748426
998	0.1075241509
999	0.1074759802
